Current	VoltageA (50mV/1000A)	uV-0.026	-3.059
-0.026	-3.047
-0.026	-3.039
-0.026	-3.047
-0.026	-3.054
-0.026	-3.044
-0.026	-3.029
-0.026	-3.067
-0.025	-3.035
-0.026	-3.066
-0.026	-3.041
-0.026	-3.048
-0.026	-3.059
-0.025	-3.074
-0.026	-3.048
-0.025	-3.066
-0.026	-3.027
-0.026	-3.056
-0.026	-3.029
-0.026	10.786
2.269	4.249
3.392	4.061
4.511	1.167
5.610	1.299
7.171	1.423
8.252	0.215
9.323	0.282
10.388	-0.493
11.444	-0.371
12.943	-1.294
13.985	-1.072
15.023	-1.173
16.054	-1.297
17.083	-1.465
18.548	-1.847
19.567	-2.016
20.586	-2.210
21.600	-1.859
22.615	-2.288
24.056	-2.286
25.066	-2.171
26.073	-2.230
27.078	-2.566
28.081	-2.313
29.511	-2.194
30.513	-2.314
31.512	-2.029
32.510	-2.113
33.508	-2.379
34.931	-2.450
35.926	-2.681
36.921	-2.596
37.913	-2.357
38.906	-2.604
40.326	-2.829
41.316	-2.782
42.306	-3.021
43.296	-2.902
44.285	-2.587
45.837	-3.684
46.823	-3.095
47.810	-2.575
48.791	-2.650
49.773	-2.960
51.178	-2.512
52.160	-2.733
53.136	-2.462
54.115	-2.463
55.092	-2.476
56.486	-2.958
57.463	-2.846
58.436	-2.622
59.410	-2.790
60.381	-2.429
61.770	-2.646
62.739	-2.482
63.709	-2.476
64.677	-2.528
65.645	-2.182
67.025	-2.494
67.990	-2.336
68.960	-2.372
69.923	-2.477
70.890	-2.412
72.337	-2.226
73.373	-2.349
74.405	-2.399
75.437	-2.163
76.400	-2.083
77.775	-2.137
78.737	-2.155
79.766	-1.976
80.866	-2.076
81.966	-1.975
83.408	-1.904
84.371	-1.749
85.331	-1.649
86.291	-1.638
87.253	-1.522
88.626	-1.367
89.585	-1.396
90.546	-1.492
91.505	-1.274
92.463	-1.257
93.834	-1.336
94.795	-1.279
95.753	-0.979
96.712	-0.886
97.672	-0.973
99.042	-1.049
99.997	-0.833
100.958	-0.904
101.917	-0.752
102.876	-0.604
104.243	-0.461
105.203	-0.213
106.160	0.684
107.118	2.266
108.075	4.899
109.444	9.637
110.401	21.318
111.359	38.640
112.315	55.661
113.273	90.315
99.191	-28.949
