Current	VoltageA (50mV/1000A)	uV-0.027	-3.239
-0.026	-3.216
-0.026	-3.183
-0.026	-3.214
-0.026	-3.219
-0.026	-3.259
-0.027	-3.241
-0.026	-3.239
-0.026	-3.225
-0.026	-3.197
-0.026	-3.215
-0.026	-3.234
-0.027	-3.227
-0.027	-3.216
-0.026	-3.251
-0.026	-3.229
-0.026	-3.225
-0.027	-3.216
-0.026	-3.199
-0.027	-3.213
0.447	12.325
1.436	3.043
1.879	2.308
2.311	0.735
2.734	0.340
3.145	0.113
3.718	-0.330
4.112	-0.043
4.504	-0.450
4.888	-0.524
5.261	-0.672
5.794	-0.844
6.161	-0.967
6.527	-1.205
6.888	-1.466
7.245	-1.614
7.753	-1.720
8.106	-1.820
8.453	-1.678
8.805	-1.787
9.151	-1.724
9.644	-1.959
9.987	-2.010
10.330	-2.041
10.671	-2.105
11.008	-1.987
11.496	-2.108
11.834	-2.109
12.171	-1.680
12.510	-2.153
12.847	-2.348
13.349	-2.363
13.708	-2.265
14.045	-2.416
14.378	-2.236
14.713	-2.358
15.190	-2.393
15.523	-2.515
15.856	-2.814
16.191	-2.776
16.524	-2.845
16.998	-2.859
17.330	-2.743
17.663	-2.636
17.997	-2.794
18.327	-2.911
18.803	-2.666
19.135	-2.768
19.464	-2.914
19.799	-2.836
20.131	-2.941
20.605	-2.827
20.937	-2.917
21.266	-2.823
21.601	-2.827
21.930	-2.808
22.407	-2.942
22.736	-2.881
23.071	-2.683
23.402	-2.934
23.733	-2.957
24.206	-3.057
24.563	-3.053
24.917	-2.963
25.251	-2.951
25.581	-2.881
26.054	-3.047
26.411	-2.851
26.764	-3.363
27.095	-2.943
27.426	-2.803
27.900	-2.928
28.253	-3.119
28.608	-2.860
28.937	-2.674
29.268	-2.842
29.742	-3.096
30.073	-2.867
30.405	-3.104
30.737	-2.929
31.065	-2.857
31.538	-2.856
31.871	-3.021
32.199	-2.937
32.531	-3.182
32.861	-2.842
33.332	-2.735
33.664	-2.780
33.994	-2.881
34.326	-2.841
34.656	-3.363
35.124	-2.898
35.457	-2.958
35.787	-2.739
36.118	-2.842
36.446	-2.801
36.919	-2.818
37.249	-2.619
37.580	-2.772
37.909	-2.681
38.238	-2.695
38.711	-2.516
39.042	-2.588
39.370	-2.521
39.700	-2.647
40.030	-2.733
40.500	-2.737
40.854	-2.736
41.207	-2.682
41.535	-2.677
41.889	-2.591
42.385	-2.532
42.739	-2.278
43.090	-2.754
43.420	-2.468
43.750	-2.506
44.219	-2.362
44.547	-2.167
44.877	-2.228
45.207	-2.114
45.536	-1.946
46.006	-2.534
46.335	-1.053
46.662	-0.951
46.988	-0.349
47.316	-0.030
47.788	1.190
48.115	2.294
48.445	3.558
48.772	5.038
49.097	6.501
49.567	8.937
49.894	12.832
50.221	16.208
50.550	20.218
50.876	25.101
51.342	31.217
51.668	41.945
51.995	51.385
52.322	-93.747
22.843	-9.376
0.006	-10.942
-0.036	-6.651
-0.037	-4.944
-0.025	-2.500
-0.019	-1.973
-0.025	-2.717
-0.023	-2.808
-0.023	-3.033
-0.024	-3.222
-0.025	-3.365
-0.024	-3.398
-0.025	-3.230
-0.025	-3.287
-0.026	-3.292
-0.026	-3.271
-0.026	-3.266
-0.026	-3.296
-0.026	-3.238
-0.026	-3.264
-0.026	-3.225
-0.026	-3.231
-0.026	-3.277
-0.026	-3.238
-0.026	-3.269
-0.026	-3.263
-0.026	-3.274
-0.026	-3.264
-0.026	-3.274
-0.026	-3.240
-0.026	-3.264
-0.025	-3.243
-0.026	-3.224
-0.026	-3.272
-0.026	-3.235
-0.026	-3.235
-0.026	-3.249
-0.026	-3.246
-0.026	-3.205
-0.026	-3.233
-0.026	-3.224
-0.027	-3.231
-0.027	-3.242
-0.027	-3.247
-0.026	-3.255
-0.027	-3.224
-0.027	-3.225
-0.027	-3.233
-0.027	-3.234
-0.026	-3.252
-0.026	-3.236
-0.027	-3.236
-0.027	-3.247
-0.027	-3.237
-0.026	-3.241
-0.027	-3.239
-0.027	-3.231
-0.027	-3.232
-0.026	-3.238
-0.027	-3.238
-0.027	-3.217
-0.027	-3.235
-0.027	-3.220
-0.027	-3.205
-0.026	-3.206
-0.027	-3.215
-0.027	-3.223
-0.026	-3.245
-0.027	-3.240
-0.026	-3.219
-0.026	-3.244
-0.027	-3.229
-0.026	-3.239
-0.027	-3.207
-0.026	-3.229
-0.027	-3.239
-0.027	-3.225
-0.027	-3.200
-0.027	-3.179
-0.026	-3.224
-0.027	-3.219
-0.026	-3.242
-0.027	-3.231
-0.027	-3.210
-0.027	-3.213
-0.027	-3.224
-0.026	-3.217
-0.027	-3.205
-0.027	-3.225
-0.027	-3.213
-0.027	-3.230
-0.027	-3.222
-0.027	-3.231
-0.027	-3.204
-0.027	-3.219
-0.027	-3.230
-0.027	-3.242
-0.027	-3.252
-0.027	-3.234
-0.027	-3.194
-0.027	-3.210
-0.027	-3.215
-0.027	-3.217
-0.027	-3.219
-0.027	-3.226
-0.027	-3.248
-0.027	-3.241
-0.027	-3.241
-0.027	-3.220
-0.026	-3.233
-0.027	-3.207
-0.027	-3.198
-0.027	-3.204
-0.027	-3.225
-0.027	-3.210
-0.027	-3.223
-0.027	-3.233
-0.027	-3.225
-0.027	-3.232
-0.027	-3.216
-0.027	-3.220
-0.027	-3.203
-0.027	-3.223
-0.027	-3.236
-0.027	-3.231
-0.027	-3.238
-0.027	-3.199
-0.027	-3.220
-0.027	-3.194
-0.027	-3.231
